Zip,City,County,Latitude,Longitude,2018,2019,2020,2021,2022
76519,Burlington,Milam,30.98978,-97.03579,-12.25,21.45,-28.13,-28.57,93.2
79766,Odessa,Ector,31.71014,-102.36185,4.54,12.9,-0.23,40.11,9.92
75414,Bells,Grayson,33.62504,-96.43193,-9.58,18.65,-0.64,-11.93,9.87
77304,Conroe,Montgomery,30.33097,-95.51538,7.29,8.38,7.58,2.25,9.86
76853,Lometa,Lampasas,31.24774,-98.39047,-1.97,-5.7,-8.45,11.93,9.85
77564,Hull,Liberty,30.21811,-94.65989,-15.51,12.51,-18.86,13.38,9.79
76377,Petrolia,Clay,34.0101,-98.24191,-3.29,-30.01,-25.23,-3.86,9.77
75438,Dodd City,Fannin,33.60701,-96.07462,-1.09,9.25,-1.92,-2.06,9.76
79119,Amarillo,Randall,35.10876,-102.01968,3.21,6.89,5.63,10.14,9.73
78950,New Ulm,Austin,29.90735,-96.48518,-10.75,1.4,2.93,16.26,9.7
75082,Richardson,Collin,32.99208,-96.66536,-0.65,-0.41,-0.28,14.45,9.65
78949,Muldoon,Fayette,29.83681,-97.08062,-13.28,-11.41,39.32,-26.52,9.6
76055,Itasca,Hill,32.1596,-97.14812,2.27,4.0,13.16,2.33,9.55
78880,Rocksprings,Edwards,29.96486,-100.27779,-1.15,-10.26,6.77,-33.24,9.49
75709,Tyler,Smith,32.31323,-95.38904,-0.83,-5.46,-2.26,-0.61,9.46
78626,Georgetown,Williamson,30.66664,-97.59878,3.37,8.71,5.42,-3.38,9.46
75202,Dallas,Dallas,32.77843,-96.8037,1.48,12.29,18.47,-19.24,9.45
76050,Grandview,Johnson,32.27262,-97.16326,8.6,-0.46,-1.9,10.93,9.39
75451,Leesburg,Camp,32.96247,-95.11835,13.73,2.47,18.23,7.27,9.36
76102,Fort Worth,Tarrant,32.75799,-97.32858,-3.94,-1.43,14.54,0.17,9.34
79407,Lubbock,Hockley,33.56566,-102.08895,4.93,3.36,-2.85,-4.27,9.27
78724,Austin,Travis,30.29474,-97.61439,-0.22,3.81,-1.54,2.4,9.23
77554,Galveston,Galveston,29.23187,-94.92544,6.3,-2.43,2.03,3.1,9.15
75054,Grand Prairie,Dallas,32.60036,-97.03409,-1.2,12.15,9.37,21.27,9.11
78545,Falcon Heights,Zapata,26.591,-99.13889,9.79,-29.72,-49.75,101.49,9.09
